bear_id,date,num_points,centroid_x,centroid_y,min_x,max_x,min_y,max_y,sex,age,season,total_distance,avg_speed
Bear10,2012-11-10,22,431901.41940454557,681271.7403454545,431544.5781,432317.2035,680670.6063,681907.3879,M,A,Hyperphagia,3145.848441145024,149.80230672119163
Bear10,2012-11-11,23,430248.1580739131,680930.9827173912,429615.8936,431541.3267,680681.9762,681012.0404,M,A,Hyperphagia,2176.8634902808158,98.9483404673098
Bear10,2012-11-12,23,429737.12280869565,680908.4016739129,429559.085,429847.6573,680799.306,680984.5253,M,A,Hyperphagia,1135.5562955470552,51.61619525213887
Bear10,2012-11-13,24,429691.00553749996,680927.6736708333,429380.004,429928.0345,680755.0732,681034.6861,M,A,Hyperphagia,1889.138212989212,82.13644404300922
Bear10,2012-11-14,24,429572.0978958334,680967.72575,428462.9238,429877.8093,680765.2261,681560.9131,M,A,Hyperphagia,2477.3791874888757,107.71213858647286
Bear10,2012-11-15,20,426466.40434000007,683114.574015,425294.9742,428477.0288,681569.3258,684520.9962,M,A,Winter sleep,6561.144327130386,345.3233856384414
Bear10,2012-11-16,19,425567.2330473684,684196.0937052632,424334.5172,425831.0833,683965.475,684323.0454,M,A,Winter sleep,2204.0128348372527,122.44515749095848
Bear10,2012-11-17,21,424030.008347619,683799.5955190477,422665.7838,424802.1048,682826.2305,684178.171,M,A,Winter sleep,3815.8078839710765,190.79039419855383
Bear10,2012-11-18,23,421379.2186956522,682742.3576173914,420664.6424,421922.7011,682244.263,684140.6411,M,A,Winter sleep,3906.3880864829125,177.56309484013238
Bear10,2012-11-19,24,419363.3896541667,684021.8770249999,418634.7668,420535.3312,683209.1716,684320.4012,M,A,Winter sleep,3276.1293038116914,142.4404045135518
Bear10,2012-11-20,22,418472.26249545446,683449.829709091,418184.0466,418839.2851,682043.2625,683676.3778,M,A,Winter sleep,3068.078908953692,146.0989956644615
Bear10,2012-11-22,23,418166.86669999996,681575.514673913,417769.7877,418931.894,681248.8344,681741.8748,M,A,Winter sleep,2476.863071964295,112.58468508928614
Bear10,2012-11-23,24,418183.67059583333,682330.1940583334,417655.6796,419405.9361,680972.0116,683598.595,M,A,Winter sleep,5485.9664809123,238.52028177879563
Bear10,2012-11-24,22,420171.75113636366,684324.5285136364,418596.1724,422400.8864,682781.6702,685005.5763,M,A,Winter sleep,5892.7361690844955,280.6064842421188
